Text,Link
Jump to content,#bodyContent
Main page,/wiki/Main_Page
Contents,/wiki/Wikipedia:Contents
Current events,/wiki/Portal:Current_events
Random article,/wiki/Special:Random
About Wikipedia,/wiki/Wikipedia:About
Contact us,//en.wikipedia.org/wiki/Wikipedia:Contact_us
Donate,https://donate.wikimedia.org/wiki/Special:FundraiserRedirector?utm_source=donate&utm_medium=sidebar&utm_campaign=C13_en.wikipedia.org&uselang=en
Help,/wiki/Help:Contents
Learn to edit,/wiki/Help:Introduction
Community portal,/wiki/Wikipedia:Community_portal
Recent changes,/wiki/Special:RecentChanges
Upload file,/wiki/Wikipedia:File_upload_wizard
Search,/wiki/Special:Search
Create account,/w/index.php?title=Special:CreateAccount&returnto=Nikola+Tesla
Log in,/w/index.php?title=Special:UserLogin&returnto=Nikola+Tesla
learn more,/wiki/Help:Introduction
Contributions,/wiki/Special:MyContributions
Talk,/wiki/Special:MyTalk
(Top),#
1Early years,#Early_years
1.1Working at Budapest Telephone Exchange,#Working_at_Budapest_Telephone_Exchange
2Working at Edison,#Working_at_Edison
2.1Moving to the United States,#Moving_to_the_United_States
3Tesla Electric Light & Manufacturing,#Tesla_Electric_Light_&_Manufacturing
4AC and the induction motor,#AC_and_the_induction_motor
4.1Market turmoil,#Market_turmoil
5New York laboratories,#New_York_laboratories
5.1Tesla coil,#Tesla_coil
5.2Citizenship,#Citizenship
5.3Wireless lighting,#Wireless_lighting
5.4Polyphase system and the Columbian Exposition,#Polyphase_system_and_the_Columbian_Exposition
5.5Steam-powered oscillating generator,#Steam-powered_oscillating_generator
5.6Consulting on Niagara,#Consulting_on_Niagara
5.7The Nikola Tesla Company,#The_Nikola_Tesla_Company
5.8Lab fire,#Lab_fire
5.9X-ray experimentation,#X-ray_experimentation
5.10Radio remote control,#Radio_remote_control
6Wireless power,#Wireless_power
6.1Colorado Springs,#Colorado_Springs
6.2Wardenclyffe,#Wardenclyffe
7Later years,#Later_years
7.1Bladeless turbine,#Bladeless_turbine
7.2Wireless lawsuits,#Wireless_lawsuits
7.3Nobel Prize rumors,#Nobel_Prize_rumors
"7.4Other awards, patents and ideas","#Other_awards,_patents_and_ideas"
7.5Living circumstances,#Living_circumstances
7.6Birthday press conferences,#Birthday_press_conferences
8Death,#Death
8.1Estate,#Estate
9Patents,#Patents
10Personal life and character,#Personal_life_and_character
10.1Appearance,#Appearance
10.2Eidetic memory,#Eidetic_memory
10.3Relationships,#Relationships
10.4Sleep habits,#Sleep_habits
10.5Work and dining habits,#Work_and_dining_habits
11Views and beliefs,#Views_and_beliefs
11.1On experimental and theoretical physics,#On_experimental_and_theoretical_physics
11.2On society,#On_society
11.3On religion,#On_religion
12Literary works,#Literary_works
13Legacy and honors,#Legacy_and_honors
14See also,#See_also
15Notes,#Notes
16References,#References
17Further reading,#Further_reading
18External links,#External_links
Afrikaans,https://af.wikipedia.org/wiki/Nikola_Tesla
Alemannisch,https://als.wikipedia.org/wiki/Nikola_Tesla
አማርኛ,https://am.wikipedia.org/wiki/%E1%8A%92%E1%8A%AE%E1%88%8B_%E1%89%B0%E1%88%B5%E1%88%8B
العربية,https://ar.wikipedia.org/wiki/%D9%86%D9%8A%D9%83%D9%88%D9%84%D8%A7_%D8%AA%D8%B3%D9%84%D8%A7
Aragonés,https://an.wikipedia.org/wiki/Nikola_Tesla
ܐܪܡܝܐ,https://arc.wikipedia.org/wiki/%DC%A2%DC%9D%DC%A9%DC%98%DC%A0%DC%90_%DC%9B%DC%A3%DC%A0%DC%90
Արեւմտահայերէն,https://hyw.wikipedia.org/wiki/%D5%86%D5%AB%D6%84%D5%B8%D5%AC%D5%A1_%D4%B9%D5%A5%D5%BD%D5%AC%D5%A1
Armãneashti,https://roa-rup.wikipedia.org/wiki/Nikola_Tesla
Arpetan,https://frp.wikipedia.org/wiki/Nikola_Tesla
অসমীয়া,https://as.wikipedia.org/wiki/%E0%A6%A8%E0%A6%BF%E0%A6%95%27%E0%A6%B2%E0%A6%BE_%E0%A6%9F%E0%A7%87%E0%A6%9B%E0%A6%B2%E0%A6%BE
Asturianu,https://ast.wikipedia.org/wiki/Nikola_Tesla
Avañe'ẽ,https://gn.wikipedia.org/wiki/Nikola_Tesla
Aymar aru,https://ay.wikipedia.org/wiki/Nikola_Tesla
Azərbaycanca,https://az.wikipedia.org/wiki/Nikola_Tesla
تۆرکجه,https://azb.wikipedia.org/wiki/%D9%86%DB%8C%DA%A9%D9%88%D9%84%D8%A7_%D8%AA%D8%B3%D9%84%D8%A7
Basa Bali,https://ban.wikipedia.org/wiki/Nikola_Tesla
বাংলা,https://bn.wikipedia.org/wiki/%E0%A6%A8%E0%A6%BF%E0%A6%95%E0%A7%8B%E0%A6%B2%E0%A6%BE_%E0%A6%9F%E0%A7%87%E0%A6%B8%E0%A6%B2%E0%A6%BE
Bân-lâm-gú,https://zh-min-nan.wikipedia.org/wiki/Nikola_Tesla
Башҡортса,https://ba.wikipedia.org/wiki/%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%A2%D0%B5%D1%81%D0%BB%D0%B0
Беларуская,https://be.wikipedia.org/wiki/%D0%9D%D1%96%D0%BA%D0%BE%D0%BB%D0%B0_%D0%A2%D1%8D%D1%81%D0%BB%D0%B0
Беларуская (тарашкевіца),https://be-tarask.wikipedia.org/wiki/%D0%9D%D1%96%D0%BA%D0%BE%D0%BB%D0%B0_%D0%A2%D1%8D%D1%81%D0%BB%D0%B0
भोजपुरी,https://bh.wikipedia.org/wiki/%E0%A4%A8%E0%A4%BF%E0%A4%95%E0%A5%8B%E0%A4%B2%E0%A4%BE_%E0%A4%9F%E0%A5%87%E0%A4%B8%E0%A5%8D%E0%A4%B2%E0%A4%BE
Български,https://bg.wikipedia.org/wiki/%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%A2%D0%B5%D1%81%D0%BB%D0%B0
Bosanski,https://bs.wikipedia.org/wiki/Nikola_Tesla
Brezhoneg,https://br.wikipedia.org/wiki/Nikola_Tesla
Буряад,https://bxr.wikipedia.org/wiki/%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%A2%D0%B5%D1%81%D0%BB%D0%B0
Català,https://ca.wikipedia.org/wiki/Nikola_Tesla
Чӑвашла,https://cv.wikipedia.org/wiki/%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%A2%D0%B5%D1%81%D0%BB%D0%B0
Cebuano,https://ceb.wikipedia.org/wiki/Nikola_Tesla
Čeština,https://cs.wikipedia.org/wiki/Nikola_Tesla
Cymraeg,https://cy.wikipedia.org/wiki/Nikola_Tesla
Dansk,https://da.wikipedia.org/wiki/Nikola_Tesla
Deutsch,https://de.wikipedia.org/wiki/Nikola_Tesla
Eesti,https://et.wikipedia.org/wiki/Nikola_Tesla
Ελληνικά,https://el.wikipedia.org/wiki/%CE%9D%CE%AF%CE%BA%CE%BF%CE%BB%CE%B1_%CE%A4%CE%AD%CF%83%CE%BB%CE%B1
Español,https://es.wikipedia.org/wiki/Nikola_Tesla
Esperanto,https://eo.wikipedia.org/wiki/Nikola_Tesla
Euskara,https://eu.wikipedia.org/wiki/Nikola_Tesla
فارسی,https://fa.wikipedia.org/wiki/%D9%86%DB%8C%DA%A9%D9%88%D9%84%D8%A7_%D8%AA%D8%B3%D9%84%D8%A7
Fiji Hindi,https://hif.wikipedia.org/wiki/Nikola_Tesla
Føroyskt,https://fo.wikipedia.org/wiki/Nikola_Tesla
Français,https://fr.wikipedia.org/wiki/Nikola_Tesla
Frysk,https://fy.wikipedia.org/wiki/Nikola_Tesla
Gaeilge,https://ga.wikipedia.org/wiki/Nikola_Tesla
Gàidhlig,https://gd.wikipedia.org/wiki/Nikola_Tesla
Galego,https://gl.wikipedia.org/wiki/Nikola_Tesla
贛語,https://gan.wikipedia.org/wiki/%E5%B0%BC%E5%93%A5%E6%8B%89%C2%B7%E7%89%B9%E6%96%AF%E6%8B%89
ગુજરાતી,https://gu.wikipedia.org/wiki/%E0%AA%A8%E0%AA%BF%E0%AA%95%E0%AB%8B%E0%AA%B2%E0%AA%BE_%E0%AA%9F%E0%AB%87%E0%AA%B8%E0%AB%8D%E0%AA%B2%E0%AA%BE
한국어,https://ko.wikipedia.org/wiki/%EB%8B%88%EC%BD%9C%EB%9D%BC_%ED%85%8C%EC%8A%AC%EB%9D%BC
Hausa,https://ha.wikipedia.org/wiki/Nikola_Tesla
Հայերեն,https://hy.wikipedia.org/wiki/%D5%86%D5%AB%D5%AF%D5%B8%D5%AC%D5%A1_%D5%8F%D5%A5%D5%BD%D5%AC%D5%A1
हिन्दी,https://hi.wikipedia.org/wiki/%E0%A4%A8%E0%A4%BF%E0%A4%95%E0%A5%8B%E0%A4%B2%E0%A4%BE_%E0%A4%9F%E0%A5%87%E0%A4%B8%E0%A5%8D%E0%A4%B2%E0%A4%BE
Hrvatski,https://hr.wikipedia.org/wiki/Nikola_Tesla
Ido,https://io.wikipedia.org/wiki/Nikola_Tesla
Ilokano,https://ilo.wikipedia.org/wiki/Nikola_Tesla
Bahasa Indonesia,https://id.wikipedia.org/wiki/Nikola_Tesla
Interlingua,https://ia.wikipedia.org/wiki/Nikola_Tesla
Íslenska,https://is.wikipedia.org/wiki/Nikola_Tesla
Italiano,https://it.wikipedia.org/wiki/Nikola_Tesla
עברית,https://he.wikipedia.org/wiki/%D7%A0%D7%99%D7%A7%D7%95%D7%9C%D7%94_%D7%98%D7%A1%D7%9C%D7%94
ಕನ್ನಡ,https://kn.wikipedia.org/wiki/%E0%B2%A8%E0%B2%BF%E0%B2%95%E0%B3%8B%E0%B2%B2%E0%B2%BE_%E0%B2%9F%E0%B3%86%E0%B2%B8%E0%B3%8D%E0%B2%B2%E0%B2%BE
Kapampangan,https://pam.wikipedia.org/wiki/Nikola_Tesla
ქართული,https://ka.wikipedia.org/wiki/%E1%83%9C%E1%83%98%E1%83%99%E1%83%9D%E1%83%9A%E1%83%90_%E1%83%A2%E1%83%94%E1%83%A1%E1%83%9A%E1%83%90
कॉशुर / کٲشُر,https://ks.wikipedia.org/wiki/%D9%86%D9%90%DA%A9%D9%88%D9%84%D9%8E%D8%B3_%D9%B9%D8%A0%D8%B3%D9%84%D8%A7
Қазақша,https://kk.wikipedia.org/wiki/%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%A2%D0%B5%D1%81%D0%BB%D0%B0
Kernowek,https://kw.wikipedia.org/wiki/Nikola_Tesla
Kiswahili,https://sw.wikipedia.org/wiki/Nikola_Tesla
Kreyòl ayisyen,https://ht.wikipedia.org/wiki/Nikola_Tesla
Kriyòl gwiyannen,https://gcr.wikipedia.org/wiki/Nikola_Tesla
Kurdî,https://ku.wikipedia.org/wiki/N%C3%AEkola_Tesla
Кыргызча,https://ky.wikipedia.org/wiki/%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%A2%D0%B5%D1%81%D0%BB%D0%B0
Latina,https://la.wikipedia.org/wiki/Nicolaus_Tesla
Latviešu,https://lv.wikipedia.org/wiki/Nikola_Tesla
Лезги,https://lez.wikipedia.org/wiki/%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%A2%D0%B5%D1%81%D0%BB%D0%B0
Lietuvių,https://lt.wikipedia.org/wiki/Nikola_Tesla
Ligure,https://lij.wikipedia.org/wiki/Nikola_Tesla
Limburgs,https://li.wikipedia.org/wiki/Nikola_Tesla
Livvinkarjala,https://olo.wikipedia.org/wiki/Nikola_Tesla
Lombard,https://lmo.wikipedia.org/wiki/Nikola_Tesla
Magyar,https://hu.wikipedia.org/wiki/Nikola_Tesla_(feltal%C3%A1l%C3%B3)
Македонски,https://mk.wikipedia.org/wiki/%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%A2%D0%B5%D1%81%D0%BB%D0%B0
Malagasy,https://mg.wikipedia.org/wiki/Nikola_Tesla
മലയാളം,https://ml.wikipedia.org/wiki/%E0%B4%A8%E0%B4%BF%E0%B4%95%E0%B5%8D%E0%B4%95%E0%B5%8B%E0%B4%B3_%E0%B4%9F%E0%B5%86%E0%B4%B8%E0%B5%8D%E2%80%8C%E0%B4%B2
मराठी,https://mr.wikipedia.org/wiki/%E0%A4%A8%E0%A4%BF%E0%A4%95%E0%A5%8B%E0%A4%B2%E0%A4%BE_%E0%A4%9F%E0%A5%87%E0%A4%B8%E0%A4%B2%E0%A4%BE
მარგალური,https://xmf.wikipedia.org/wiki/%E1%83%9C%E1%83%98%E1%83%99%E1%83%9D%E1%83%9A%E1%83%90_%E1%83%A2%E1%83%94%E1%83%A1%E1%83%9A%E1%83%90
مصرى,https://arz.wikipedia.org/wiki/%D9%86%D9%8A%D9%83%D9%88%D9%84%D8%A7_%D8%AA%D9%8A%D8%B3%D9%84%D8%A7
Bahasa Melayu,https://ms.wikipedia.org/wiki/Nikola_Tesla
Minangkabau,https://min.wikipedia.org/wiki/Nikola_Tesla
Монгол,https://mn.wikipedia.org/wiki/%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%A2%D0%B5%D1%81%D0%BB%D0%B0
မြန်မာဘာသာ,https://my.wikipedia.org/wiki/%E1%80%94%E1%80%AE%E1%80%80%E1%80%AD%E1%80%AF%E1%80%9C%E1%80%AC_%E1%80%90%E1%80%80%E1%80%BA%E1%80%85%E1%80%9C%E1%80%AC
Nederlands,https://nl.wikipedia.org/wiki/Nikola_Tesla
नेपाली,https://ne.wikipedia.org/wiki/%E0%A4%A8%E0%A4%BF%E0%A4%95%E0%A5%8B%E0%A4%B2%E0%A4%BE_%E0%A4%9F%E0%A5%87%E0%A4%B8%E0%A5%8D%E0%A4%B2%E0%A4%BE
नेपाल भाषा,https://new.wikipedia.org/wiki/%E0%A4%A8%E0%A4%BF%E0%A4%95%E0%A5%8B%E0%A4%B2%E0%A4%BE_%E0%A4%9F%E0%A5%87%E0%A4%B8%E0%A5%8D%E0%A4%B2%E0%A4%BE
日本語,https://ja.wikipedia.org/wiki/%E3%83%8B%E3%82%B3%E3%83%A9%E3%83%BB%E3%83%86%E3%82%B9%E3%83%A9
Нохчийн,"https://ce.wikipedia.org/wiki/%D0%A2%D0%B5%D1%81%D0%BB%D0%B0,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0"
Nordfriisk,https://frr.wikipedia.org/wiki/Nikola_Tesla
Norsk bokmål,https://no.wikipedia.org/wiki/Nikola_Tesla
Norsk nynorsk,https://nn.wikipedia.org/wiki/Nikola_Tesla
Novial,https://nov.wikipedia.org/wiki/Nikola_Tesla
Occitan,https://oc.wikipedia.org/wiki/Nikola_Tesla
ଓଡ଼ିଆ,https://or.wikipedia.org/wiki/%E0%AC%A8%E0%AC%BF%E0%AC%95%E0%AD%8B%E0%AC%B2%E0%AC%BE_%E0%AC%9F%E0%AD%87%E0%AC%B8%E0%AD%8D%E2%80%8C%E0%AC%B2%E0%AC%BE
Oromoo,https://om.wikipedia.org/wiki/Nikolaa_Teslaa
Oʻzbekcha / ўзбекча,https://uz.wikipedia.org/wiki/Nikola_Tesla
ਪੰਜਾਬੀ,https://pa.wikipedia.org/wiki/%E0%A8%A8%E0%A8%BF%E0%A8%95%E0%A9%8B%E0%A8%B2%E0%A8%BE_%E0%A8%9F%E0%A9%88%E0%A8%B8%E0%A8%B2%E0%A8%BE
